위치,조항,제목,내용
서울대학교 계절학기 운영에 관한 규정,6,시험과 성적,"계절수업의 시험과 성적은 학칙과 “학업성적처리규정”에 따른다. 다만, Ⅰ(미완) 성적은 인정하 지 아니한다."
서울대학교 계절학기 운영에 관한 규정,7,납입금,"① 학생은 소정의 납입금을 납부하여야 하며, 수강을 취소하였을 경우에는 다음 각 호의 구분에 의하 여 납입금을 반환한다.[개정 2002.1.7., 2007.8.6.] 1. 당해학기 개시일 전 : 납입금 전액 2. 총 수업일수의 3분의 1 경과 전 : 납입금의 3분의 2 3. 총 수업일수의 3분의 1을 경과한 날로부터 총 수업일수의 2분의 1 경과 전 : 납입금의 2분의 1 4. 총 수업일수의 2분의 1 경과 후 : 반환하지 않음. ② 납입금액은 학기마다 정한다."
서울대학교 계절학기 운영에 관한 규정,8,강사료의 지급,강사료는 예산의 범위 내에서 따로 정하여 지급한다.법제처                                                            2                                                       국가법령정보센터  서울대학교 계절학기 운영에 관한 규정
서울대학교 계절학기 운영에 관한 규정,9,연구활동비,계절수업을 담당하는 교수에게는 예산의 범위 내에서 연구활동비를 지급할 수 있다.
서울대학교 계절학기 운영에 관한 규정,10,정원,"국내·외대학 교류학생의 수강정원은 제한하지 아니한다. 다만, 수업운영상 필요한 경우에는 이를 제한 할 수 있다."
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,1,목적,"이 규정은 「학칙」 제96조에 따른 서울대학교(이하 “본교”라 한다)와 국내 타 대학과의 학생 교류수학 및 학점인정에 관하여 필요한 사항을 규정함을 목적으로 한다.[개정 2002.1.7.,2012.7.12.]"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,2,적용범위,이 규정은 본교와 국내 타 대학과의 학술교류협정을 체결하고 이에 따라 교류 수학하는 학생에게 적용한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,3,용어의 정의,이 규정에서 사용하는 용어의 정의는 다음과 같다. 1. 소속대학이라 함은 학생이 입학하여 재적 중인 대학을 말한다. 2. 수학대학이라 함은 학생이 수학을 지원한 대학을 말한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,4,시행세칙,이 규정 시행에 필요한 세부사항은 총장이 따로 정한다.               제2장  본교 학생의 타 대학 수학
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,5,지원자격,"본교 재학생으로서 타 대학에 수학 하고자 하는 학생(이하 “지원자”라 한다)은 학칙에 의거 징계받 은 사실이 없는 자로서, 기 이수한 학기의 성적 평점평균이 학사과정은 2.7 이상, 대학원과정은 3.3 이상인 자로 한 다."
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,6,수학신청,"① 지원자는 지도교수의 추천을 받아 다음 각 호의 지원서류를 소속학과(부)장을 경유하여 대학(원 )장에게 제출한다.  1. 수학신청원(별지 1호 서식) 2. 지도교수 추천서 3-4. [삭제 2002.1.7.] ② 정규학기 수학은 수학 희망학기 개시 3개월 전에, 계절학기 수학은 개강 2개월 전에 신청하는 것을 원칙으로 한다.[개정 2002.1.7.]"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,7,수학허가,수학은 소속대학(원)장의 추천을 받아 총장이 허가한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,8,등록,정규학기 수학을 허가받은 학생은 수학기간 동안 본교에 소정의 등록금을 납입하고 등록 하여야 한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,9,교과목의 이수,"이수 교과목은 전공 교과목을 원칙으로 하되, 지도교수의 추천 또는 특별한 사유가 있을 때에 는 교양 교과목도 이수하게 할 수 있다."
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,10,수강신청,"수강신청, 변경 및 취소는 수학대학에서 정한 절차에 따른다."
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,11,수학신청의 취소,① 수학신청의 취소를 원하는 학생은 수업주수 4분의 1선 이내에 별지 2호 서식의 수학신 청 취소원을 본교에 제출하고 허가를 받아야 한다.법제처                                                            2                                                       국가법령정보센터  서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정  ② 수학신청 취소 절차는 이 규정 제6조 제1항 및 제7조를 준용한다. ③ 계절수업 수학 취소에 관한 사항은 따로 정한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,12,학점 인정,타 대학에서 수학 취득한 학점은 본교의 학칙 등 관련 규정의 범위 내에서 본교 학점으로 인정한 다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,13,취득학점,"① 학기당 취득학점은 본교 취득학점을 포함하여 학사과정은 18학점, 대학원과정은 12학점, 계절학 기는 9학점 이내를 원칙으로 한다.[개정 2002.1.7., 2009.8.7.] ② 수학기간 동안 취득학점은 계절학기 취득학점을 포함하여 소속대학(원)의 학위취득에 필요한 최저 소요학점 의 2분의 1 이내로 한다.[개정 2002.1.7.]"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,14,수학기간,"정규학기의 수학기간은 학사과정은 4개학기 석사과정과 박사과정은 2개학기 이내로 하며, 석·박 사통합과정은 4개학기 이내로 하는 것을 원칙으로 하되 세부사항은 따로 정하여 시행할 수 있다. 다만, 계절학기 의 수학기간은 제한하지 아니한다.[개정 2002.1.7.]①-② [삭제 2002.1.7.]"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,15,학점의 인정 기준,"① 이수한 교과목의 성적은 취득한 성적 그대로 학적부에 등재하되, 평점평균 산출시에는 산입하지 아니한다. 다만, 교육과정을 공동으로 운영하거나 공동학위를 수여하는 대학에서 수학한 경우에는 학점 및 평점을 인정한다.[개정 2003.7.28.] ② 이미 이수한 교과목과 동일한 교과목의 학점은 인정하지 아니한다.[개정 2003.7.28.] ③ 휴학기간 중 취득한 학점은 인정하지 아니한다. 다만, 계절학기는 예외로 한다.[개정 2002.1.7., 2003. 7.28.] ④ 부득이한 사유로 수강예정 교과목 이외의 교과목을 이수한 경우에는 제16조가 정하는 학점인정 심의 절차를 거쳐 학점을 인정할 수 있다.[개정 2003.7.28.]"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,16,학점인정 절차,① 수학학점은 수학대학의 수학결과통보에 의하여 소정의 심의절차를 거쳐 취득학점으로 인 정한다. ② 전항에 의한 취득학점은 학적부에 “○○대학(교) 수학 이수학점”임을 표시하여 등재한다.               제3장  타 대학 학생의 본교 수학
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,17,지원자격,본교에 수학하고자 하는 학생은 소속대학 총장의 수학허가를 받은 자로 한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,18,수학신청,소속대학 총장은 수학 지원자 명단과 수학신청원(별지1호 서식)을 학기 개시(계절학기 개강) 1개 월 전까지 본교 총장에게 통보한다.[개정 2002.1.7.]
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,19,수학허가,본교 총장은 소정의 심사 절차를 거쳐 지원자의 수학허가 여부를 확정하고 학기 개시(계절수업 개강) 2주 전까지 소속대학 총장에게 통보한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,20,정원,정규학기 수학 학생의 정원은 당해 학과(부)정원의 10분의 1 이내로 하며 계절수업 수학 정원은 따로 정한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,21,등록금 및 수강료 등,"① 정규학기 수학학생은 수학기간 중 소속대학에 등록금을 납입하고 등록하여야 한다. ② 수학에 필요하다고 인정할 경우 시설사용료, 실험실습비 등을 징수할 수 있으며 이에 관한 사항은 따로 정한 다 ③ 계절수업 수학 학생은 본교에 소정의 수강료를 납부하여야 한다."
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,22,수강신청,"수강신청, 변경 및 취소는 본교가 정한 절차에 따른다.법제처                                                            3                                                       국가법령정보센터  서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,23,수학신청의 취소,수학신청의 취소를 원하는 학생은 소속대학에서 정한 절차에 따라 소속대학에 수학신청 취소원을 제출하고 허가를 받아야 한다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,24,수학허가의 취소,수학허가를 받은 학생이 수학기간 중 본교의 학칙을 위반한 때에는 수학허가를 취소할 수 있다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,25,취득학점,학기당 취득학점과 수학기간 동안 취득학점 및 수학기간은 소속대학의 기준에 따른다.[개정 2002.1.7.]①-② [삭제 2002.1.7.]   제26조 [삭제 2002.1.7.]
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,27,취득학점의 처리,① 취득학점은 본교의 학칙 및 학업성적처리규정에 따라 처리하고 수학기간 종료 후 2주 이 내에 소속대학 총장에게 통보한다. ② 전항의 취득학점에 대하여 성적증명서를 발급할 수 있다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,28,신분증의 발급,수학이 허가된 학생에게는 별지 3호 서식의 수강증을 발급할 수 있다.
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,29,시설물의 이용,"수학 학생에게는 도서관, 실험실습실, 기숙사 등의 시설물을 이용하게 할 수 있다.     부칙 <제1051호,1997.5.31>    이 규정은 공포한 날부터 시행하되, 1997학년도 제1학기부터 적용한다.    부칙 <제1222호,2002.1.7>    이 규정은 공포한 날부터 시행한다.    부칙 <제1399호,2003.7.28>  ①(시행일) 이 규정은 2004년 3월 1일부터 시행한다. ②(경과조치) 이 규정 시행일 이전에 취득한 성적에 대하여는 종전의 규정에 의한다.    부칙 <제1738호,2009.8.7>  이 규정은 공포한 날부터 시행한다.    부칙 <제1869호,2012.7.12>  이 규정은 공포한 날부터 시행한다.  법제처                                                            4                                                       국가법령정보센터  서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정  부칙 <제1956호,2014.5.16>"
서울대학교 국내대학과의 학생교류수학 및 학점인정에 관한 규정,1,시행일,이 규정은 2014년 6월 1일부터 시행한다.
서울대학교 대학원 융합전공 운영 규정,1,목적,이 규정은 「서울대학교 학칙」(이하 “「학칙」”이라 한다) 제77조제2항제2호에 따른 대학원 융합전공에 관 하여 필요한 사항을 규정함을 목적으로 한다.
서울대학교 대학원 융합전공 운영 규정,2,정의,"① ‘융합전공’은 둘 이상의 학과(부) 및 협동과정에서 협의를 통해 융합적 교육을 위해 별도로 설치한 대 학원 과정의 전공을 말한다. ② ‘참여 학과(부)’는 해당 융합전공의 교과과정 운영에 공동으로 참여하는 학과(부) 및 협동과정을 말한다. ③ ‘주관 학과(부)’는 참여 학과(부) 중 해당 융합전공의 제반 행정업무를 관장하는 학과(부) 및 협동과정을 말하며 , 주관 학과(부)가 소속된 대학(원)이 주관 대학(원)이 된다."
서울대학교 대학원 융합전공 운영 규정,3,설치,"융합전공은 주관 학과(부)에서 설계하여 [별지 제1호서식]의 서식에 따라 설치제안서를 제출하고, 대학 원위원회의 심의를 거쳐 총장의 승인을 받아야 한다."
서울대학교 대학원 융합전공 운영 규정,4,전공 운영,"① 융합전공의 운영과 학생지도를 위하여 전공주임교수를 두며, 전공주임은 융합전공에 참여하는 본교 전임교원 중에서 주관 대학(원)장의 추천으로 총장이 임명한다. ② 융합전공 별 운영에 관한 사항을 결정하기 위해 각기 다른 둘 이상의 참여 학과(부) 전임교원 세 명 이상으로 구성된 융합전공운영위원회를 두고, 위원장은 전공주임교수가 된다."
서울대학교 대학원 융합전공 운영 규정,5,선발기준 및 이수방법,"① 융합전공의 선발인원 및 선발기준 등에 관한 사항은 융합전공운영위원회의 심의를 거쳐 총장의 승인을 받아 따로 정한다. ② 융합전공의 과정 이수 학점 및 교과과정 운영은 각 융합전공별 교과과정에 따로 정한다. 다만, 융합전공을 이 수하고자 하는 학생은 수료에 필요한 학점의 최소 4분의 1 이상을 해당 융합전공에서 제공하는 교과목을 이수하 여야 한다.[개정 2023.08.02] ③ 융합전공을 이수하고자 하는 학생은 원 소속 학과(부)의 전공과 융합전공을 모두 이수하여야 한다.[개정 2023.08.02]"
서울대학교 대학원 융합전공 운영 규정,6,학생의 소속,융합전공을 이수하는 학생의 소속은 원 소속 학과(부)로 한다.
서울대학교 대학원 융합전공 운영 규정,7,학생선발절차,"① 융합전공은 석사과정, 박사과정, 석사·박사통합과정 별 선발인원을 정하여야 한다. ② 융합전공의 지원자격은 융합전공 참여 학과(부) 소속 학생(입학예정자 포함)으로 제한하며, 동일한 학위과정에 한하여 지원하여야 한다. [개정 2023.08.02] ③ 융합전공 지원자는 소속 학과(부)장 및 학(원)장의 추천을 받아 [별지 제2호서식]의 선발신청서류를 융합전공 주관 학과(부)의 학(원)장에게 제출한다. ④ 융합전공 주관 대학(원)의 학(원)장은 정해진 기일 내에 융합전공 이수자를 선발하여 총장에게 보고하여야 한 다."
서울대학교 대학원 융합전공 운영 규정,8,이수 학점,"① 융합전공 이수자는 석사과정은 24학점 이상, 박사과정은 36학점 이상, 석사·박사통합과정은 60학점 이상 이수하여야 한다. [개정 2023.08.02] ② 융합전공 이수자로 선발되기 전에 이수한 융합전공의 전공교과목은 융합전공의 전공학점으로 인정할 수 있다 .법제처                                                            2                                                       국가법령정보센터  서울대학교 대학원 융합전공 운영 규정  ③ 융합전공을 이수하는 학생은 융합전공 교과과정에 나열된 교과목에 대하여 석사과정은 12학점 이내, 박사과 정은 18학점 이내, 석사·박사통합과정은 42학점 이내에서 소속 학과(부)의 전공 이수학점으로 중복 인정할 수 있 다 [개정 2022. 7. 25., 2023.08.02]"
서울대학교 대학원 융합전공 운영 규정,9,이수전공의 취소,① (삭제)[개정 2023.08.02] ② 융합전공을 취소하고자 하는 학생은 수업연한 종료 학기 이전에 원 소속 학과(부)장의 승인을 받아 [별지 제 3호서식]의 서류를 융합전공 주관 대학(원)의 학(원)장에게 제출하여야 한다. ③ 융합전공 이수자의 원 소속 대학(원)의 학(원)장과 융합전공 주관 대학(원)의 학(원)장은 제2항의 처리결과를 총장에게 보고하여야 한다.[개정 2023.08.02]
서울대학교 대학원 융합전공 운영 규정,10,재학연한,융합전공 이수자의 재학연한은 1년에 한하여 연장할 수 있다.
서울대학교 대학원 융합전공 운영 규정,11,학위수여,융합전공을 이수하고 「학칙」제89조제1항 또는 제2항에서 정한 자격을 충족한 학생에게 학생이 소속된 학과(부) 및 협동과정에서 수여하는 과정별 학위를 수여한다.
서울대학교 대학원 융합전공 운영 규정,12,평가 및 존속·폐지 결정,"① 총장은 융합전공의 운영실적을 매 3년마다 평가하며, 전공주임교수는 운영실적 에 관한 보고서를 작성·제출하는 등 평가가 원활히 수행되도록 협조하여야 한다. ② 총장은 제1항의 규정에 의한 평가를 위하여 본교 전임교원들로 구성된 평가단을 위촉할 수 있다. ③ 평가단은 독립성을 갖고 공정히 평가업무를 수행하며, 그 결과보고서를 작성하여 총장에게 제출한다. ④ 총장은 융합전공의 평가결과 및 기타 운영 상황 등을 참작하여 존속 또는 폐지 여부를 결정한다. 다만, 필요한 경우에는 개선을 위한 조건과 기한을 정하여 폐지 결정을 유예할 수 있다. 부칙  <제2224호,  2020.3.25.> 이 규정은 공포한 날부터 시행한다. 이 규정은 2020학년도에 입학하는 학생부터 적용한다. 부칙  <제2240호,  2020.7.13.> 이 규정은 공포한 날부터 시행한다. 서울대학교 규정 제2224호 서울대학교 대학원 융합전공 운영 규정 부칙 제2조는 삭제한다. 부칙  <제02379호, 2022. 7. 25.> 이 규정은 공포한 날부터 시행한다. 부칙  <제2454호, 2023.08.02.> 이 규정은 공포한 날부터 시행한다. 제5조제3항, 제8조제1항, 제8조3항, 제9조제1항, 제9조제3항의 개정규정은 2024학년도에 선발되는 학생부터 적용한 다.    부칙 <제2224호,2020.3.25>"
서울대학교 대학원 융합전공 운영 규정,1,시행일,이 규정은 공포한 날부터 시행한다.
서울대학교 대학원 융합전공 운영 규정,2,적용례,"이 규정은 2020학년도에 입학하는 학생부터 적용한다.    부칙 <제2240호,2020.7.13>"
서울대학교 대학원 융합전공 운영 규정,1,시행일,이 규정은 공포한 날부터 시행한다.법제처                                                            3                                                       국가법령정보센터  서울대학교 대학원 융합전공 운영 규정
서울대학교 대학원 융합전공 운영 규정,2,적용례,"서울대학교 규정 제2224호 서울대학교 대학원 융합전공 운영 규정 부칙 제2조는 삭제한다.    부칙 <제2379호,2022.7.25>  이 규정은 공포한 날부터 시행한다.    부칙 <제2454호,2023.8.2>"
서울대학교 대학원 융합전공 운영 규정,1,시행일,이 규정은 공포한 날부터 시행한다.
서울대학교 석사·박사통합과정 운영에 관한 규정,1,목적,"이 규정은 「서울대학교 학칙」 제58조제2항에 따른 석사·박사통합과정 운영에 필요한 사항을 규정함을 목적으로 한다. [개정 2011.4.29.,2012.7.12.,2014.7.14.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,2,정의,"석사·박사통합과정(이하 ""통합과정""이라 한다)이란  박사학위 취득을 목표로 하는 학생이 석사학위 취득 없이 박사 학위를 취득할 수 있는 과정을 말한다.[개정 2011.4.29.]   제2조의2(설치 및 운영) ① 통합과정은 석사과정과 박사과정을 운영하고 있는 학과(부)에서 설치·운영할 수 있다.[개 정 2014.7.14.] ② 통합과정은 석사과정과 박사과정이 통합된 단일 교과과정으로 편성·운영하여야 한다. [본조신설 2011.4.29.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,3,선발대상,"통합과정의 학생은 학사학위 취득자 또는 법령에 의하여 이와 동등 이상의 학력이 있다고 인정된 자를 대상으로 선발한다. [개정 2011.4.29.,2014.7.14.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,4,선발인원,통합과정의 선발인원은 박사과정 학과(부)별 입학정원 범위에서 각 대학(원)의 대학원학사위원회의 심의를 거쳐 대학원위원회에서 정한다.[개정 2011. 4.29.]
서울대학교 석사·박사통합과정 운영에 관한 규정,5,전형방법,통합과정의 선발방법 및 전형방법은 각 대학(원)의 대학원학사위원회의 심의를 거쳐 대학원위원회 에서 정한다. [개정 2011. 4.29.]
서울대학교 석사·박사통합과정 운영에 관한 규정,6,수업연한 및 재학연한,"① 통합과정의 수업연한은 4년이상으로 한다. 다만, 통합과정수료에 필요한 학점을 조 기에 충족한 학생에 대하여는 1년 범위에서 수업연한을 단축할 수 있다. [개정 2011. 4.29.,2012.7.12.,2014.7.14.] ② 통합과정의 재학연한은 8년으로 한다.[개정 2011. 4.29.,2014.7.14.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,7,이수학점,"통합과정의 이수학점은 60학점 이상으로 한다. [개정 2011.4.29.,2014.7.14.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,8,박사과정 인정,"① 통합과정의 학생으로서 3개 학기 이상을 이수하고, 24학점 이상을 취득한 학생은 박사과정 으로 인정한다.[개정 2011.4.29.,2014.7.14.] ② 제1항의 박사과정 인정 자에 대한 학적 관련 제 증명 등을 발급할 때에는 박사과정 재학 중으로 발급한다."
서울대학교 석사·박사통합과정 운영에 관한 규정,9,중도 포기자 또는 탈락자에 대한 조치,"① 중도포기 학생은 스스로 통합과정의 수학을 포기하는 학생으로 본 인이 포기하고자 하는 학기의 학적변동 기간 내에 포기원을 소속 학과(부)장에게 제출하여야 한다.[신설 2011. 4.29.] ② 중도탈락 학생은 학과(부)에서 수학능력이 부족하다고 판단하는 학생으로 매 학기 학적변동 기간 내에 자체적 으로 처리하며, 이에 따른 세부사항은 학과(부)장이  따로 정할 수 있다. [신설 2011. 4.29., 개정 2014.7.14.] ③ 통합과정 수료 후 박사학위 포기자는 본인이 포기하고자 하는 학기의 학적변동 기간 내에 포기원을 소속 학과 (부)장에게 제출하여야 한다.[신설 2016. 9. 6.]법제처                                                            2                                                       국가법령정보센터  서울대학교 석사·박사통합과정 운영에 관한 규정  ④ 제1항과 제2항에 따른 통합과정 중도포기 또는 중도탈락자가 발생한 경우 해당 대학(원)장은 그 결과를 총장 에게 보고 하여야 한다.[신설 2011. 4.29., 개정 2016. 9. 6.] ⑤ 제1항부터 제3항까지에 해당하는 학생 중 「서울대학교 학칙」제89조제1항 및 「서울대학교 학위수여규정」 제 17조에서 정한 요건을 충족한 경우 석사학위를 수여할 수 있다.[개정 2011. 4.29.,2012.7.12.,2014.7.14.,2016. 9. 6.] ⑥ 제5항에 따라 석사학위를 수여한 학생 중 제3항에 해당하는 학생에게는 해당 통합과정 박사학위를 수여할 수 없다. [신설 2016. 9. 6.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,10,학위논문제출자격시험,"통합과정에서 2개 학기 이상 등록 후 각 대학(원)별로 정한 학점을 취득한 학생은 논 문제출자격시험에 응시할 수 있다.  [개정 2011. 4.29.,2014.7.14.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,11,박사학위논문 제출,"통합과정에서 6개 학기 이상 등록 후 각 대학(원)별로 정한 학점을 취득하고, 논문제출자 격시험에 합격한 학생은 박사학위논문을 제출할 수 있다. [개정 2011.4.29.,2012.7.12.,2014.7.14.]   제11조의2(박사학위의 수여) 「서울대학교 학칙」 제89조제2항 및 「서울대학교 학위수여 규정」 제21조의 요건을 충 족한 학생에게 박사학위를 수여한다. [본조신설 2011. 4.29., 개정 2014.7.14.]"
서울대학교 석사·박사통합과정 운영에 관한 규정,12,세부사항,"이 규정에 명시되지 않은 세부사항은 대학원위원회의 심의를 거쳐 총장이 따로 정한다.    부칙 <제1163호,2000.12.11>                ① 이 규정은 공포한 날부터 시행한다.               ② 이 규정은 2000학년도석사과정 입학자부터 적용한다.    부칙 <제1329호,2002.6.7>    이 규정은 공포한 날부터 시행한다.    부칙 <제1363호,2002.10.25>  이 규정은 공포한 날부터 시행한다.    부칙 <제1822호,2011.4.29>"
서울대학교 석사·박사통합과정 운영에 관한 규정,1,시행일,이 규정은 공포한 날부터 시행한다.
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,1,목적,"이 규정은 &#65378;학칙&#65379; 제58조제2항에 따라 의학대학원 및 치의학대학원 복합학위과정 운 영에 관하여 필요한 사항을 규정함을 목적으로 한다.〔개정 2011.1.26.,2012.7.12.〕"
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,2,용어의 정의 및 설치,"① 의학대학원 및 치의학대학원 복합학위과정(이하 “복합학위과정”이라 한다) 이라 함은 의학&#8228;치의학 전문대학원의 석사학위과정(4년, M.D./D.D.S.)과 학술박사학위과정(2년 이상, Ph.D.)을 동시에 이수하는 과정을 말한다. 〔개정 2011.1.26.〕 ② 복합학위과정은 의학대학원과 치의학대학원에 각각 설치한다. 〔개정 2011.1.26.〕"
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,3,선발대상 및 선발기준 등,① 선발 대상은 전문대학원 1학년 학생을 당해연도에 선발하거나 또는 잔여정원의 범위 내에서 1학년 내지 2학년 재학생을 대상으로 선발할 수 있다. ② 선발기준 및 전형방법은 해당 대학원의 복합학위과정운영위원회와 대학원위원회의 심의를 거쳐 따로 정한다 .〔개정 2011.1.26.〕
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,4,선발인원,"선발인원은 박사과정 학과(부)별 입학정원의 10% 이내에서 제한적으로 선발하되, 구체적인 선발인 원은 대학원위원회의 심의를 거쳐 따로 정한다."
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,5,수업연한 및 재학연한,① 수업연한은 전문석사학위과정(4년이상)과학술박사학위과정(2년이상)을 포함하여 6년 이상으로 한다. ② 교육과정 이수편제는 다음 각호와 같이 운영한다. 1. 제 1 기 : 2년(전문석사학위과정 : 기초과정) 2. 제 2 기 : 3년(학술박사학위과정 : Ph.D. 과정) 3. 제 3 기 : 2년(전문석사학위과정 : 임상과정) ③ 제2항에도 불구하고 복합학위과정 기간 중 병역의무 이행 등의 특별한 사유가 있는 학생에 대하여는 다음 각 호와 같이 운영할 수 있다.〔신설 2013.2.12.〕 1. 제 1 기 : 4년(전문석사학위과정) 2. 제 2 기 : 3년(학술박사학위과정 : Ph.D. 과정) ④ 복합학위과정의 재학연한은 전문석사학위과정을 포함하여 12년을 초과할 수 없다.
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,6,이수학점,복합학위과정의 이수학점은 「학칙」 제78조제3항에서 정한 해당 전문대학원 석사과정 및 일반대학 원 박사학위과정의 수료학점으로 한다.〔개정 2012.7.12.〕
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,7,과정탈락자에 대한 조치,"① 복합학위과정 탈락자 및 중도포기자 중에서 &#65378;학칙&#65379; 제89조제3항 의 요건을 갖춘 자에게 석사학위를 수여하고 복합학위과정 이수를 종결시킬 수 있다.〔개정 2012.7.12.〕 ② 복합학위과정 탈락자 및 중도포기자로 발생한 여석은 복합학위과정의 여석으로만 인정한다. ③ 복합학위과정 탈락자 및 중도포기자가 정부지원금(장학금, 수련지원금 등)을 받은 경우 전액 반환하여야 하며, 별도의 자체 지원금을 받은 경우에는 해당 대학원장이 따로 정한다.〔개정 2011.1.26.〕법제처                                                            2                                                       국가법령정보센터  서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정"
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,8,학위수여,복합학위과정생으로서 &#65378;학칙&#65379; 제89조제1항 및 제2항의 요건을 갖춘 자에게 전문 석사학위와 학술박사학위를 수여한다.〔개정 2012.7.12.〕
서울대학교 의학대학원 및 치의학대학원 복합학위과정 운영에 관한 규정,9,운영위원회 설치 및 운영,"① 복합학위과정을 운영하기 위하여 해당 대학원에 복합학위과정운영위원회(이하 “운영위원회”라 한다)를 둔다.〔개정 2011.1.26.〕 ② 운영위원회는 다음 각호의 사항을 심의한다. 1. 모집인원, 입학자격, 전형방법 등 학생선발에 관한 사항 2. 교과과정 구성 및 운영에 관한 사항 3. 지도교수 선정, 복합학위과정생 자격유지조건 등 학생지도에 관한 사항 4. 연구계획서, 논문제출자격시험, 학위논문심사 등 학위수여에 관한 사항 5. 중도탈락자 및 중도포기자에 대한 조치 등에 관한 사항 6. 기타 복합학위과정 운영에 필요한 사항 ③ 운영위원회 구성 및 운영에 관한 세부사항은 해당 대학원장이 따로 정한다.〔개정 2011.1.26.〕"
서울대학교 전과(부) 규정,1,목적,"이 규정은 「서울대학교 학칙」 제65조에 따라 전과(부)를 시행하기 위하여 필요한 사항을 규정함을 목적 으로 한다.[개정 2002. 1. 7.,2012. 7. 12.,2018. 6. 15.]"
서울대학교 전과(부) 규정,2,정의,"전과(부)(이하 “전과”라 한다)란 학사과정 학생이 학과(부) 또는 전공(이하 “학과”라 한다) 소속을 변경하 여 다른 학과에 소속함을 말한다.[개정 2002. 1. 7., 2018. 6. 15.]"
서울대학교 전과(부) 규정,3,지원시기,"전과의 지원시기는 매 학년도말로 한다.[개정 2018. 6. 15.] ② [개정 2009. 1. 6., 2015. 2. 6.] [삭제 2018. 6. 15.]"
서울대학교 전과(부) 규정,4,지원자격,"[신설 2018. 6. 15.] ① 전과 지원자격은 4개 정규학기 이상 등록하고, 65학점 이상을 취득한 학생으 로 한다. 다만, 폐지된 모집단위 소속 재적생이 전과를 지원하는 경우에는 예외로 할 수 있다.[신설 2018. 6. 15.][개 정 2022. 9. 29.] ② 제1항에 따라 약학대학 전공과정으로 전과하는 학생의 경우에는 전입 학년을 3학년으로 한다.[신설 2018. 6. 15.][개정 2022. 9. 29.] ③ 의과대학 및 수의과대학 학생의 경우에는 예과과정 등록학기 및 이수학점을 합산하여 제1항의 지원자격을 충 족한 경우 전과를 지원할 수 있다.[신설 2018. 6. 15.]"
